中華電信電視,#genre#
壹電視電影台,http://61.224.69.212:9088/udp/230.1.2.189:11111
壹電視電影台,http://61.224.69.212:9088/udp/230.1.2.19:11111
壹電視資訊綜合台,http://61.224.69.212:9088/udp/230.1.2.220:11111
壹電視資訊綜合台,http://61.224.69.212:9088/udp/230.1.2.40:11111
壹電視新聞台,http://61.224.69.212:9088/udp/230.1.2.18:11111
壹電視新聞台,http://61.224.69.212:9088/udp/230.1.2.188:11111
富立電視台,http://61.224.69.212:9088/udp/224.1.4.138:11111
富立電視台,http://61.224.69.212:9088/udp/224.1.4.35:11111
智林體育台,http://61.224.69.212:9088/udp/224.1.4.238:11111
智林體育台,http://61.224.69.212:9088/udp/230.1.2.78:11111
頻道總表,http://61.224.69.212:9088/udp/224.1.4.116:11111
頻道總表,http://61.224.69.212:9088/udp/230.1.2.140:11111
韓國娛樂台KMTV,http://61.224.69.212:9088/udp/224.1.4.232:11111
韓國娛樂台KMTV,http://61.224.69.212:9088/udp/230.1.2.66:11111
新唐人亞太台,http://61.224.69.212:9088/udp/224.1.4.165:11111
新唐人亞太台,http://61.224.69.212:9088/udp/230.1.2.50:11111
滾動力 rollor,http://61.224.69.212:9088/udp/224.1.4.236:11111
滾動力 rollor,http://61.224.69.212:9088/udp/230.1.2.70:11111
罪案偵緝頻道,http://61.224.69.212:9088/udp/224.1.4.85:11111
罪案偵緝頻道,http://61.224.69.212:9088/udp/230.1.2.238:11111
靖天日本台,http://61.224.69.212:9088/udp/224.1.4.103:11111
靖天日本台,http://61.224.69.212:9088/udp/230.1.2.221:11111
靖天卡通台,http://61.224.69.212:9088/udp/224.1.4.25:11111
靖天卡通台,http://61.224.69.212:9088/udp/230.1.2.162:11111
靖天電影台,http://61.224.69.212:9088/udp/224.1.4.42:11111
靖天電影台,http://61.224.69.212:9088/udp/230.1.2.243:11111
靖天戲劇台,http://61.224.69.212:9088/udp/224.1.4.40:11111
靖天戲劇台,http://61.224.69.212:9088/udp/230.1.2.163:11111
靖天育樂台,http://61.224.69.212:9088/udp/224.1.4.28:11111
靖天育樂台,http://61.224.69.212:9088/udp/230.1.2.194:11111
KLT-靖天國際台,http://61.224.69.212:9088/udp/224.1.4.106:11111
KLT-靖天國際台,http://61.224.69.212:9088/udp/224.1.4.220:11111
靖天映畫,http://61.224.69.212:9088/udp/224.1.4.28:11111
靖天映畫,http://61.224.69.212:9088/udp/230.1.2.236:11111
靖天資訊台,http://61.224.69.212:9088/udp/224.1.4.30:11111
靖天資訊台,http://61.224.69.212:9088/udp/230.1.2.184:11111
靖天綜合台,http://61.224.69.212:9088/udp/224.1.4.104:11111
靖天綜合台,http://61.224.69.212:9088/udp/224.1.4.199:11111
靖洋卡通台Nice Bingo,http://61.224.69.212:9088/udp/224.1.4.23:11111
靖洋卡通台Nice Bingo,http://61.224.69.212:9088/udp/230.1.2.161:11111
靖洋戲劇台,http://61.224.69.212:9088/udp/224.1.4.107:11111
靖洋戲劇台,http://61.224.69.212:9088/udp/230.1.2.240:11111
頻道總表,http://61.224.69.212:9088/udp/230.1.2.107:11111
頻道總表,http://61.224.69.212:9088/udp/230.1.2.108:11111
影迷數位電影台,http://61.224.69.212:9088/udp/230.1.2.20:11111
影迷數位紀實台,http://61.224.69.212:9088/udp/224.1.4.226:11111
影迷數位紀實台,http://61.224.69.212:9088/udp/230.1.2.23:11111
寰宇HD綜合台,http://61.224.69.212:9088/udp/224.1.4.87:11111
寰宇HD綜合台,http://61.224.69.212:9088/udp/230.1.2.148:11111
寰宇財經台,http://61.224.69.212:9088/udp/224.1.4.56:11111
寰宇財經台,http://61.224.69.212:9088/udp/230.1.2.249:11111
寰宇新聞台,http://61.224.69.212:9088/udp/224.1.4.51:11111
寰宇新聞台,http://61.224.69.212:9088/udp/230.1.2.252:11111
寰宇新聞台灣台,http://61.224.69.212:9088/udp/224.1.4.101:11111
寰宇新聞台灣台,http://61.224.69.212:9088/udp/230.1.2.147:11111
鏡電視新聞台,http://61.224.69.212:9088/udp/224.1.4.126:11111
鏡電視新聞台,http://61.224.69.212:9088/udp/230.1.2.138:11111
amc電影台,http://61.224.69.212:9088/udp/224.1.4.43:11111
amc電影台,http://61.224.69.212:9088/udp/230.1.2.157:11111
Animax,http://61.224.69.212:9088/udp/224.1.4.237:11111
Animax,http://61.224.69.212:9088/udp/230.1.2.77:11111
Arirang TV,http://61.224.69.212:9088/udp/224.1.4.184:11111
Arirang TV,http://61.224.69.212:9088/udp/224.1.4.92:11111
ROCK ACTION,http://61.224.69.212:9088/udp/230.1.2.181:11111
BBC Earth,http://61.224.69.212:9088/udp/230.1.2.172:11111
BBC Earth,http://61.224.69.212:9088/udp/230.1.2.9:11111
BBC Lifestyle Channel,http://61.224.69.212:9088/udp/230.1.2.10:11111
BBC Lifestyle Channel,http://61.224.69.212:9088/udp/230.1.2.173:11111
BBC World News,http://61.224.69.212:9088/udp/224.1.4.52:11111
BBC World News,http://61.224.69.212:9088/udp/230.1.2.250:11111
Bloomberg TV,http://61.224.69.212:9088/udp/224.1.4.197:11111
Bloomberg TV,http://61.224.69.212:9088/udp/224.1.4.79:11111
CARTOONITO,http://61.224.69.212:9088/udp/224.1.4.15:11111
CARTOONITO,http://61.224.69.212:9088/udp/224.1.4.161:11111
CatchPlay電影台,http://61.224.69.212:9088/udp/230.1.2.217:11111
CatchPlay電影台,http://61.224.69.212:9088/udp/230.1.2.37:11111
CBeebies,http://61.224.69.212:9088/udp/224.1.4.213:11111
CBeebies,http://61.224.69.212:9088/udp/224.1.4.75:11111
Channel NewsAsia頻道,http://61.224.69.212:9088/udp/224.1.4.139:11111
Channel NewsAsia頻道,http://61.224.69.212:9088/udp/230.1.2.11:11111
CinemaWorld,http://61.224.69.212:9088/udp/230.1.2.201:11111
CinemaWorld,http://61.224.69.212:9088/udp/230.1.2.222:11111
CinemaWorld,http://61.224.69.212:9088/udp/230.1.2.3:11111
CMusic,http://61.224.69.212:9088/udp/224.1.4.159:11111
CMusic,http://61.224.69.212:9088/udp/230.1.2.60:11111
CNBC Asia Channel,http://61.224.69.212:9088/udp/224.1.4.118:11111
CNBC Asia Channel,http://61.224.69.212:9088/udp/224.1.4.140:11111
CNN International,http://61.224.69.212:9088/udp/224.1.4.235:11111
CNN International,http://61.224.69.212:9088/udp/230.1.2.69:11111
Discovery Asia,http://61.224.69.212:9088/udp/230.1.2.168:11111
Discovery Asia,http://61.224.69.212:9088/udp/230.1.2.6:11111
Discovery科學頻道,http://61.224.69.212:9088/udp/230.1.2.12:11111
Discovery科學頻道,http://61.224.69.212:9088/udp/230.1.2.212:11111
DMAX,http://61.224.69.212:9088/udp/230.1.2.13:11111
DMAX,http://61.224.69.212:9088/udp/230.1.2.213:11111
DreamWorks,http://61.224.69.212:9088/udp/224.1.4.121:11111
DreamWorks,http://61.224.69.212:9088/udp/224.1.4.177:11111
德國之聲電視台,http://61.224.69.212:9088/udp/224.1.4.120:11111
德國之聲電視台,http://61.224.69.212:9088/udp/224.1.4.147:11111
ELEVEN SPORTS PLUS,http://61.224.69.212:9088/udp/224.1.4.115:11111
ELEVEN SPORTS PLUS,http://61.224.69.212:9088/udp/224.1.4.189:11111
ELEVEN SPORTS 2,http://61.224.69.212:9088/udp/224.1.4.156:11111
ELEVEN SPORTS 2,http://61.224.69.212:9088/udp/230.1.2.79:11111
ELTV生活英語台,http://61.224.69.212:9088/udp/224.1.4.216:11111
ELTV生活英語台,http://61.224.69.212:9088/udp/230.1.2.83:11111
ETtoday綜合台,http://61.224.69.212:9088/udp/224.1.4.212:11111
Euronews,http://61.224.69.212:9088/udp/224.1.4.119:11111
EUROSPORT,http://61.224.69.212:9088/udp/224.1.4.135:11111
EVE,http://61.224.69.212:9088/udp/230.1.2.14:11111
EVE,http://61.224.69.212:9088/udp/230.1.2.214:11111
EYE TV戲劇台,http://61.224.69.212:9088/udp/224.1.4.60:11111
EYE TV戲劇台,http://61.224.69.212:9088/udp/230.1.2.134:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/224.1.4.192:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/224.1.4.61:11111
EYE TV旅遊台,http://61.224.69.212:9088/udp/230.1.2.135:11111
時尚頻道,http://61.224.69.212:9088/udp/230.1.2.177:11111
Food Network 美食台頻道,http://61.224.69.212:9088/udp/224.1.4.211:11111
Food Network 美食台頻道,http://61.224.69.212:9088/udp/224.1.4.57:11111
FRANCE24(English),http://61.224.69.212:9088/udp/224.1.4.166:11111
FRANCE24(English),http://61.224.69.212:9088/udp/230.1.2.24:11111
FRANCE24(French),http://61.224.69.212:9088/udp/230.1.2.15:11111
Global Trekker,http://61.224.69.212:9088/udp/224.1.4.162:11111
Global Trekker,http://61.224.69.212:9088/udp/224.1.4.82:11111
GOOD TV 2,http://61.224.69.212:9088/udp/224.1.4.122:11111
GOOD TV 2,http://61.224.69.212:9088/udp/230.1.2.151:11111
HGTV 居家樂活頻道,http://61.224.69.212:9088/udp/224.1.4.183:11111
HGTV 居家樂活頻道,http://61.224.69.212:9088/udp/224.1.4.80:11111
HITS,http://61.224.69.212:9088/udp/224.1.4.136:11111
i-Fun動漫台,http://61.224.69.212:9088/udp/230.1.2.223:11111
i-Fun動漫台,http://61.224.69.212:9088/udp/230.1.2.26:11111
INULTRA,http://61.224.69.212:9088/udp/230.1.2.145:11111
Lifetime,http://61.224.69.212:9088/udp/224.1.4.230:11111
Lifetime,http://61.224.69.212:9088/udp/230.1.2.64:11111
LOVE NATURE,http://61.224.69.212:9088/udp/224.1.4.182:11111
LUXE TV Channel,http://61.224.69.212:9088/udp/230.1.2.16:11111
LUXE TV Channel,http://61.224.69.212:9088/udp/230.1.2.176:11111
My Cinema Europe HD 我的歐洲電影,http://61.224.69.212:9088/udp/230.1.2.129:11111
Mezzo Live HD,http://61.224.69.212:9088/udp/224.1.4.240:11111
Mezzo Live HD,http://61.224.69.212:9088/udp/230.1.2.81:11111
MOD 4K LIVE,http://61.224.69.212:9088/udp/230.1.2.203:11111
MOD電影推薦內容,http://61.224.69.212:9088/udp/224.1.4.196:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.102:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.160:11111
MOD影劇推薦內容,http://61.224.69.212:9088/udp/224.1.4.98:11111
momo1台,http://61.224.69.212:9088/udp/224.1.4.229:11111
momo1台,http://61.224.69.212:9088/udp/230.1.2.63:11111
momo2台,http://61.224.69.212:9088/udp/224.1.4.217:11111
momo2台,http://61.224.69.212:9088/udp/230.1.2.90:11111
MTV Live,http://61.224.69.212:9088/udp/230.1.2.246:11111
MTV Live,http://61.224.69.212:9088/udp/230.1.2.86:11111
MTV綜合電視台,http://61.224.69.212:9088/udp/230.1.2.231:11111
MTV綜合電視台,http://61.224.69.212:9088/udp/230.1.2.43:11111
NBA動態,http://61.224.69.212:9088/udp/224.1.4.144:11111
NHK新聞資訊台,http://61.224.69.212:9088/udp/224.1.4.137:11111
Nice TV 靖天歡樂台,http://61.224.69.212:9088/udp/224.1.4.105:11111
Nice TV 靖天歡樂台,http://61.224.69.212:9088/udp/230.1.2.241:11111
Nickelodeon Asia(尼克兒童頻道),http://61.224.69.212:9088/udp/224.1.4.249:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.179:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.45:11111
Nick Jr.,http://61.224.69.212:9088/udp/224.1.4.58:11111
PET CLUB TV,http://61.224.69.212:9088/udp/224.1.4.124:11111
PET CLUB TV,http://61.224.69.212:9088/udp/230.1.2.130:11111
ROCK Entertainment,http://61.224.69.212:9088/udp/224.1.4.131:11111
ROCK Entertainment,http://61.224.69.212:9088/udp/224.1.4.14:11111
ROCK Extreme,http://61.224.69.212:9088/udp/224.1.4.146:11111
ROCK Extreme,http://61.224.69.212:9088/udp/224.1.4.99:11111
Smart知識台,http://61.224.69.212:9088/udp/224.1.4.171:11111
Smart知識台,http://61.224.69.212:9088/udp/224.1.4.22:11111
TaiwanPlus,http://61.224.69.212:9088/udp/230.1.2.210:11111
TaiwanPlus,http://61.224.69.212:9088/udp/230.1.2.30:11111
TechStorm,http://61.224.69.212:9088/udp/224.1.4.11:11111
TECHStorm,http://61.224.69.212:9088/udp/230.1.2.159:11111
時尚頻道,http://61.224.69.212:9088/udp/230.1.2.25:11111
TRACE Sport Stars,http://61.224.69.212:9088/udp/224.1.4.242:11111
TRACE Sport Stars,http://61.224.69.212:9088/udp/230.1.2.84:11111
TRACE Urban,http://61.224.69.212:9088/udp/224.1.4.241:11111
TRACE Urban,http://61.224.69.212:9088/udp/230.1.2.82:11111
Travel Channel,http://61.224.69.212:9088/udp/230.1.2.166:11111
Travel Channel,http://61.224.69.212:9088/udp/230.1.2.4:11111
TV5MONDE STYLE HD,http://61.224.69.212:9088/udp/224.1.4.108:11111
TV5MONDE STYLE HD,http://61.224.69.212:9088/udp/224.1.4.208:11111
TV5MONDE,http://61.224.69.212:9088/udp/224.1.4.148:11111
TV5MONDE,http://61.224.69.212:9088/udp/224.1.4.16:11111

中華電信🔞,#genre#
JStar極限台電影頻道,http://61.224.69.212:9088/udp/230.1.2.152:11111
JStar極限台電影頻道,http://61.224.69.212:9088/udp/230.1.2.32:11111
K頻道,http://61.224.69.212:9088/udp/224.1.4.175:11111
K頻道,http://61.224.69.212:9088/udp/224.1.4.65:11111
松視1台,http://61.224.69.212:9088/udp/224.1.4.68:11111
松視1台,http://61.224.69.212:9088/udp/230.1.2.142:11111
松視2台,http://61.224.69.212:9088/udp/224.1.4.149:11111
松視2台,http://61.224.69.212:9088/udp/224.1.4.69:11111
松視3台,http://61.224.69.212:9088/udp/224.1.4.253:11111
松視3台,http://61.224.69.212:9088/udp/224.1.4.70:11111
香蕉台,http://61.224.69.212:9088/udp/224.1.4.205:11111
香蕉台,http://61.224.69.212:9088/udp/230.1.2.94:11111
彩虹 MOVIE,http://61.224.69.212:9088/udp/224.1.4.164:11111
彩虹 MOVIE,http://61.224.69.212:9088/udp/224.1.4.64:11111
彩虹E台,http://61.224.69.212:9088/udp/224.1.4.141:11111
